No,TIME,Pos_PSI@Body1,Vel_RZ@Body1,Acc_RZ@Body1
1,0,0,0,-16.907963
2,0.01,-0.048379033,-0.16876838,-16.848525
3,0.02,-0.1932548,-0.33682922,-16.785777
4,0.03,-0.43417919,-0.50406878,-16.712884
5,0.04,-0.77063585,-0.67036767,-16.630767
6,0.05,-1.2019236,-0.83550164,-16.55252
7,0.06,-1.727475,-0.99952095,-16.452128
8,0.07,-2.346614,-1.1622719,-16.334105
9,0.08,-3.0585741,-1.3236066,-16.200351
10,0.09,-3.862502,-1.483376,-16.051406
11,0.1,-4.7574563,-1.6414253,-15.887089
12,0.11,-5.742404,-1.7975921,-15.706821
13,0.12,-6.8162162,-1.9517049,-15.50979
14,0.13,-7.9776626,-2.1035817,-15.295049
15,0.14,-9.2254055,-2.2530299,-15.061565
16,0.15,-10.557993,-2.3998459,-14.808254
17,0.16,-11.973855,-2.5438148,-14.534012
18,0.17,-13.471293,-2.6847107,-14.237733
19,0.18,-15.048477,-2.8222971,-13.918336
20,0.19,-16.703439,-2.9563272,-13.574785
21,0.2,-18.434066,-3.0865449,-13.206107
22,0.21,-20.238097,-3.2126857,-12.811423
23,0.22,-22.113118,-3.334478,-12.389962
24,0.23,-24.056556,-3.4516445,-11.941088
25,0.24,-26.065679,-3.5639039,-11.464322
26,0.25,-28.137595,-3.6709727,-10.95936
27,0.26,-30.269249,-3.7725673,-10.426098
28,0.27,-32.457422,-3.8684065,-9.8646432
29,0.28,-34.69874,-3.9582133,-9.2753358
30,0.29,-36.989668,-4.041718,-8.6587579
31,0.3,-39.326523,-4.1186604,-8.0157445
32,0.31,-41.705476,-4.1887925,-7.3473886
33,0.32,-44.122559,-4.2518812,-6.655043
34,0.33,-46.573678,-4.3077107,-5.940317
35,0.34,-49.054619,-4.3560852,-5.2050691
36,0.35,-51.561065,-4.3968308,-4.4513948
37,0.36,-54.088605,-4.4297979,-3.6816094
38,0.37,-56.632751,-4.4548633,-2.8982264
39,0.38,-59.188952,-4.4719311,-2.1039329
40,0.39,-61.75261,-4.4809349,-1.3015591
41,0.4,-64.319098,-4.4818378,-0.49404691
42,0.41,-66.883779,-4.4746338,0.31558533
43,0.42,-69.442017,-4.4593475,1.1242792
44,0.43,-71.989204,-4.4360343,1.9289736
45,0.44,-74.520768,-4.4047795,2.7266419
46,0.45,-77.032196,-4.3656978,3.5143288
47,0.46,-79.519049,-4.3189317,4.2891848
48,0.47,-81.976977,-4.2646501,5.0484987
49,0.48,-84.401732,-4.2030467,5.789727
50,0.49,-86.789184,-4.1343376,6.5105196
51,0.5,-89.135333,-4.058759,7.2087411
52,0.51,-91.436319,-3.9765654,7.8824879
53,0.52,-93.688431,-3.8880264,8.5301007
54,0.53,-95.888116,-3.7934243,9.1501722
55,0.54,-98.031986,-3.6930519,9.7415505
56,0.55,-100.11682,-3.5872096,10.303337
57,0.56,-102.13958,-3.476203,10.834884
58,0.57,-104.09739,-3.3603407,11.335779
59,0.58,-105.98755,-3.239932,11.805841
60,0.59,-107.80756,-3.1152847,12.245098
61,0.6,-109.55507,-2.9867036,12.653775
62,0.61,-111.2279,-2.8544884,13.03227
63,0.62,-112.82407,-2.7189327,13.381136
64,0.63,-114.34174,-2.5803225,13.70106
65,0.64,-115.77923,-2.4389352,13.992841
66,0.65,-117.13503,-2.2950389,14.257365
67,0.66,-118.40779,-2.1488919,14.495589
68,0.67,-119.59626,-2.0007421,14.708519
69,0.68,-120.69939,-1.8508269,14.897185
70,0.69,-121.71621,-1.6993734,15.062631
71,0.7,-122.6459,-1.5465982,15.205891
72,0.71,-123.48778,-1.392708,15.327977
73,0.72,-124.24125,-1.2378999,15.429864
74,0.73,-124.90583,-1.0823621,15.512474
75,0.74,-125.48117,-0.92627439,15.576671
76,0.75,-125.967,-0.76980905,15.623247
77,0.76,-126.36314,-0.61313159,15.652913
78,0.77,-126.66952,-0.45640173,15.666295
79,0.78,-126.88615,-0.29977428,15.663929
80,0.79,-127.01314,-0.14340013,15.646253
81,0.8,-127.05066,0.012572753,15.61361
82,0.81,-126.999,0.16799831,15.566241
83,0.82,-126.85851,0.32273144,15.504289
84,0.83,-126.62962,0.47662697,15.427798
85,0.84,-126.31285,0.62953872,15.336716
86,0.85,-125.90882,0.78131862,15.230899
87,0.86,-125.41822,0.9318158,15.110111
88,0.87,-124.84182,1.0808758,14.974037
89,0.88,-124.1805,1.2283399,14.822283
90,0.89,-123.43521,1.3740442,14.654387
91,0.9,-122.60702,1.5178197,14.469826
92,0.91,-121.69707,1.659491,14.268029
93,0.92,-120.70664,1.7988766,14.048382
94,0.93,-119.63708,1.9357884,13.810248
95,0.94,-118.48986,2.0700317,13.552971
96,0.95,-117.26658,2.2014053,13.275895
97,0.96,-115.96894,2.3297015,12.978379
98,0.97,-114.59877,2.4547067,12.659808
99,0.98,-113.158,2.5762019,12.319611
100,0.99,-111.64873,2.693963,11.957278
101,1,-110.07316,2.8077622,11.572373
