No,TIME,Pos_PSI@Body1,Vel_RZ@Body1,Acc_RZ@Body1
1,0,0,0,37.257373
2,0.01,0.10657397,0.3716721,37.070013
3,0.02,0.42533414,0.74046556,36.781324
4,0.03,0.95412288,1.1048378,36.371378
5,0.04,1.6898766,1.463278,35.847135
6,0.05,2.6278479,1.813582,35.302647
7,0.06,3.763902,2.1556483,34.571967
8,0.07,5.0929644,2.488083,33.686306
9,0.08,6.6091867,2.8096349,32.665563
10,0.09,8.3060306,3.1191733,31.524409
11,0.1,10.176339,3.4156802,30.275266
12,0.11,12.212402,3.6982498,28.929729
13,0.12,14.406025,3.9660892,27.499203
14,0.13,16.748588,4.2185203,25.995138
15,0.14,19.23112,4.4549806,24.429072
16,0.15,21.844358,4.6750238,22.812571
17,0.16,24.578818,4.8783177,21.157112
18,0.17,27.424855,5.0646415,19.473956
19,0.18,30.372729,5.2338817,17.774003
20,0.19,33.412665,5.3860266,16.067658
21,0.2,36.534904,5.5211588,14.364701
22,0.21,39.729761,5.639448,12.674179
23,0.22,42.987667,5.7411417,11.004307
24,0.23,46.299217,5.8265561,9.3623979
25,0.24,49.655198,5.8960663,7.7548095
26,0.25,53.046628,5.9500959,6.1869149
27,0.26,56.464775,5.9891078,4.6630971
28,0.27,59.901181,6.0135938,3.1867643
29,0.28,63.347673,6.0240658,1.7603851
30,0.29,66.796375,6.021047,0.38554206
31,0.3,70.239707,6.0050643,-0.93699947
32,0.31,73.670394,5.9766411,-2.2072103
33,0.32,77.081452,5.9362916,-3.4257065
34,0.33,80.466191,5.8845153,-4.5936527
35,0.34,83.818198,5.8217936,-5.7126615
36,0.35,87.131333,5.7485866,-6.784692
37,0.36,90.399708,5.6653308,-7.8119514
38,0.37,93.617681,5.5724385,-8.796799
39,0.38,96.779838,5.4702977,-9.7416574
40,0.39,99.880982,5.359272,-10.648931
41,0.4,102.91612,5.2397027,-11.520932
42,0.41,105.88043,5.11191,-12.359818
43,0.42,108.7693,4.9761961,-13.167538
44,0.43,111.57827,4.8328469,-13.945787
45,0.44,114.30304,4.6821362,-14.695977
46,0.45,116.93946,4.524328,-15.419209
47,0.46,119.48355,4.3596801,-16.116264
48,0.47,121.93144,4.1884475,-16.787595
49,0.48,124.27945,4.0108854,-17.433333
50,0.49,126.52403,3.8272526,-18.0533
51,0.5,128.66176,3.6378137,-18.647026
52,0.51,130.68941,3.4428423,-19.213772
53,0.52,132.60388,3.2426226,-19.752566
54,0.53,134.40226,3.037452,-20.262229
55,0.54,136.0818,2.8276419,-20.741421
56,0.55,137.63993,2.6135189,-21.188674
57,0.56,139.0743,2.3954257,-21.602434
58,0.57,140.38272,2.1737213,-21.981107
59,0.58,141.56324,1.9487804,-22.323095
60,0.59,142.61412,1.7209933,-22.626839
61,0.6,143.53384,1.4907646,-22.890856
62,0.61,144.32113,1.2585123,-23.113776
63,0.62,144.97495,1.0246655,-23.294375
64,0.63,145.49452,0.78966342,-23.431599
65,0.64,145.87931,0.55395245,-23.524598
66,0.65,146.12903,0.31798437,-23.572738
67,0.66,146.24368,0.082213745,-23.575621
68,0.67,146.22349,-0.15290458,-23.533096
69,0.68,146.06896,-0.38691804,-23.445262
70,0.69,145.78087,-0.61937883,-23.312474
71,0.7,145.36022,-0.84984645,-23.135332
72,0.71,144.80828,-1.07789,-22.914679
73,0.72,144.12656,-1.3030903,-22.651583
74,0.73,143.31679,-1.5250422,-22.347318
75,0.74,142.38096,-1.7433558,-22.003348
76,0.75,141.32124,-1.9576585,-21.621295
77,0.76,140.14005,-2.1675957,-21.202914
78,0.77,138.83996,-2.372832,-20.750059
79,0.78,137.42376,-2.5730515,-20.264653
80,0.79,135.89441,-2.7679581,-19.748652
81,0.8,134.25504,-2.9572749,-19.204008
82,0.81,132.5089,-3.1407444,-18.632636
83,0.82,130.65942,-3.3181269,-18.036379
84,0.83,128.71016,-3.4891996,-17.416974
85,0.84,126.66477,-3.653755,-16.776019
86,0.85,124.52705,-3.8115992,-16.114948
87,0.86,122.30089,-3.9625495,-15.435005
88,0.87,119.9903,-4.1064328,-14.737219
89,0.88,117.59936,-4.2430826,-14.022393
90,0.89,115.13228,-4.3723369,-13.291089
91,0.9,112.59332,-4.4940358,-12.543622
92,0.91,109.98686,-4.6080186,-11.780062
93,0.92,107.31739,-4.7141219,-11.000237
94,0.93,104.58944,-4.8121769,-10.203748
95,0.94,101.8077,-4.9020079,-9.3899841
96,0.95,98.976921,-4.9834303,-8.5581529
97,0.96,96.101984,-5.0562491,-7.7073069
98,0.97,93.187876,-5.1202584,-6.8363835
99,0.98,90.239711,-5.1752402,-5.9442471
100,0.99,87.262728,-5.220965,-5.0297372
101,1,84.262301,-5.2571921,-4.0917208
